frame,site,drive,pose,landing_x,landing_y,landing_z,northing,easting,planetocentric_latitude,planetodetic_latitude,longitude,elevation,map_pixel_line,map_pixel_sample,dem_pixel_line,dem_pixel_sample,roll,pitch,yaw,quat_s,quat_v1,quat_v2,quat_v3,areoid,radius,sclk,sol
ROVER,6,170,-1,-1026.510,39.123,13.067,1092269.875,4354534.617,18.427253460,18.346169209,77.451606631,-2582.788,9520.50,13818.47,2380.12,3454.62,-0.732,8.350,-173.506,0.056950910,0.072323340,0.010487258,-0.995698750,3394510.512,3391927.724,681862945,168
ROVER,6,410,-1,-1003.469,-5.905,15.739,1092292.916,4354489.589,18.427642175,18.346169209,77.450805744,-2585.460,9428.34,13638.36,2357.08,3409.59,1.993,-2.791,-78.211,0.775907100,-0.001867546,-0.029864317,-0.630137150,3394510.506,3391925.046,681949042,169
ROVER,6,892,-1,-956.171,-96.093,16.064,1092340.214,4354399.401,18.428440121,18.346169209,77.449201621,-2585.785,9239.14,13277.60,2309.79,3319.40,7.453,2.969,-75.001,0.790377440,0.067285680,-0.019046571,-0.608616000,3394510.347,3391924.562,682034723,170
ROVER,6,1450,-1,-890.527,-181.797,13.950,1092405.858,4354313.697,18.429547574,18.346169209,77.447677259,-2583.672,8976.57,12934.79,2244.14,3233.70,8.313,-1.413,-57.759,0.873699000,0.057517400,-0.045773894,-0.480881040,3394509.965,3391926.293,682123173,171
ROVER,6,1648,-1,-886.715,-217.285,11.664,1092409.670,4354278.209,18.429611881,18.346169209,77.447046051,-2581.385,8961.32,12792.84,2240.33,3198.21,9.734,3.023,-65.549,0.836270330,0.085542190,-0.023814918,-0.541079760,3394509.894,3391928.509,682305169,173
ROVER,6,1752,-1,-883.774,-231.514,9.883,1092412.611,4354263.980,18.429661502,18.346169209,77.446792966,-2579.604,8949.56,12735.92,2237.39,3183.98,-4.601,19.204,-164.483,0.139637340,0.159800860,0.061720412,-0.975272100,3394509.856,3391930.252,682481754,175
ROVER,6,2250,-1,-833.248,-306.742,9.647,1092463.137,4354188.752,18.430513906,18.346169209,77.445454929,-2579.368,8747.45,12435.01,2186.86,3108.75,6.472,5.594,-75.932,0.784486200,0.074424170,0.003727510,-0.615652900,3394509.544,3391930.176,682663510,177
ROVER,6,2666,-1,-814.775,-371.072,4.648,1092481.610,4354124.422,18.430825557,18.346169209,77.444310728,-2574.369,8673.56,12177.69,2168.39,3044.42,-0.452,-0.560,-142.369,0.322499420,-0.005898911,0.002154519,-0.946548800,3394509.409,3391935.040,682748743,178
SITE,7,-1,-1,-819.882,-367.979,4.803,1092476.503,4354127.515,18.430739399,18.346169209,77.444365741,-2574.524,8693.99,12190.06,2173.50,3047.51,0.000,-0.000,0.000,1.000000000,0.000000000,0.000000000,0.000000000,3394509.426,3391934.902,682926548,180
ROVER,7,346,-1,-790.790,-426.544,4.465,1092505.595,4354068.950,18.431230199,18.346169209,77.443324079,-2574.186,8577.62,11955.80,2144.41,2988.95,-3.278,-0.310,-75.775,0.788844900,-0.024236469,0.015431293,-0.613920400,3394509.302,3391935.116,684611291,199
ROVER,7,1172,-1,-712.685,-574.828,2.120,1092583.700,4353920.666,18.432547877,18.346169209,77.440686637,-2571.841,8265.20,11362.66,2066.30,2840.67,-0.009,4.492,-51.044,0.901726840,0.016812980,0.035397593,-0.430526400,3394509.135,3391937.294,684699482,200
ROVER,7,1358,-1,-703.550,-541.075,4.526,1092592.835,4353954.419,18.432701990,18.346169209,77.441286982,-2574.247,8228.66,11497.68,2057.17,2874.42,1.363,-5.607,45.948,0.919289770,0.030024527,-0.040393498,0.390350200,3394509.108,3391934.861,684789699,201
ROVER,7,1556,-1,-669.677,-514.450,5.465,1092626.708,4353981.044,18.433273448,18.346169209,77.441760546,-2575.186,8093.17,11604.18,2023.29,2901.04,2.130,2.960,32.119,0.960621100,0.010713133,0.029956121,0.276034270,3394509.038,3391933.852,684875840,202
ROVER,7,1716,-1,-666.098,-487.041,4.710,1092630.286,4354008.453,18.433333816,18.346169209,77.442248055,-2574.432,8078.85,11713.81,2019.71,2928.45,2.922,1.520,87.461,0.722536700,0.009251062,0.027204804,0.690735160,3394509.031,3391934.599,684964463,203
ROVER,7,1836,-1,-662.279,-477.930,3.860,1092634.105,4354017.564,18.433398242,18.346169209,77.442410102,-2573.582,8063.58,11750.26,2015.89,2937.56,-6.549,3.561,-49.727,0.906139250,-0.038759675,0.052151660,-0.417958800,3394509.023,3391935.442,685058460,204
ROVER,7,2050,-1,-639.349,-494.187,3.599,1092657.036,4354001.307,18.433785100,18.346169209,77.442120952,-2573.320,7971.86,11685.23,1992.96,2921.31,-5.377,4.589,27.648,0.968739450,-0.055067997,0.027631488,0.240307850,3394508.973,3391935.653,685590618,210
ROVER,7,2246,-1,-631.819,-463.712,1.328,1092664.566,4354031.782,18.433912131,18.346169209,77.442662996,-2571.050,7941.74,11807.13,1985.43,2951.78,-3.721,2.551,76.763,0.782838170,-0.039254260,-0.002711550,0.620980000,3394508.958,3391937.909,687986611,237
ROVER,7,2326,-1,-634.546,-447.015,-0.740,1092661.839,4354048.478,18.433866125,18.346169209,77.442959964,-2568.982,7952.65,11873.91,1988.16,2968.48,-2.947,11.956,110.069,0.567582900,-0.099977314,0.038707790,0.816306230,3394508.965,3391939.984,688074230,238
ROVER,7,2440,-1,-628.930,-444.098,-0.567,1092667.455,4354051.396,18.433960875,18.346169209,77.443011850,-2569.154,7930.18,11885.58,1982.54,2971.40,0.291,-8.050,-74.124,0.796119900,-0.040280573,-0.057534505,-0.601049360,3394508.950,3391939.796,688162709,239
SITE,8,-1,-1,-628.741,-443.684,-0.567,1092667.644,4354051.810,18.433964063,18.346169209,77.443019220,-2569.154,7929.42,11887.24,1982.36,2971.81,0.000,-0.000,0.000,1.000000000,0.000000000,0.000000000,0.000000000,3394508.950,3391939.796,688959859,248
ROVER,8,64,-1,-631.004,-441.459,-1.016,1092665.381,4354054.035,18.433925885,18.346169209,77.443058789,-2568.706,7938.48,11896.14,1984.62,2974.03,-1.596,6.674,115.190,0.534259100,-0.056591730,0.019457820,0.843199850,3394508.958,3391940.252,691616698,278
ROVER,8,256,-1,-634.020,-476.520,2.308,1092662.365,4354018.973,18.433875003,18.346169209,77.442435175,-2572.030,7950.54,11755.89,1987.64,2938.97,3.351,-6.532,-97.336,0.660317840,-0.023481125,-0.059529750,-0.748254800,3394508.962,3391936.933,691799043,280
ROVER,8,410,-1,-659.699,-499.593,4.712,1092636.686,4353995.901,18.433441783,18.346169209,77.442024797,-2574.434,8053.26,11663.60,2013.31,2915.90,0.037,0.460,-120.436,0.496695900,0.003645018,0.001714730,-0.867915300,3394509.015,3391934.582,691887212,281
ROVER,8,458,-1,-658.530,-496.426,4.578,1092637.855,4353999.068,18.433461505,18.346169209,77.442081124,-2574.299,8048.58,11676.27,2012.15,2919.07,-5.495,1.002,-38.962,0.941771450,-0.042272918,0.024215035,-0.332705900,3394509.015,3391934.716,692064080,283
ROVER,8,734,-1,-699.481,-532.015,5.177,1092596.904,4353963.479,18.432770637,18.346169209,77.441448122,-2574.898,8212.38,11533.91,2053.10,2883.48,-1.687,3.236,-130.342,0.420072000,0.019448547,0.025209837,-0.906932060,3394509.097,3391934.198,692244230,285
SITE,9,-1,-1,-706.004,-536.238,4.716,1092590.381,4353959.256,18.432660590,18.346169209,77.441373015,-2574.438,8238.48,11517.02,2059.62,2879.26,0.000,-0.000,0.000,1.000000000,0.000000000,0.000000000,0.000000000,3394509.111,3391934.674,692336733,286
ROVER,9,82,-1,-709.454,-534.108,4.574,1092586.931,4353961.386,18.432602386,18.346169209,77.441410907,-2574.295,8252.28,11525.55,2063.07,2881.39,13.200,-3.537,-25.956,0.968332900,0.105065080,-0.055676830,-0.219528720,3394509.118,3391934.823,696067752,328
ROVER,9,178,-1,-709.247,-537.670,4.540,1092587.138,4353957.824,18.432605878,18.346169209,77.441347539,-2574.261,8251.45,11511.29,2062.86,2877.82,1.353,-2.734,-15.517,0.990532700,0.008472126,-0.025230197,-0.134672310,3394509.118,3391934.857,696508481,333
ROVER,9,276,-1,-709.058,-539.555,4.503,1092587.327,4353955.939,18.432609067,18.346169209,77.441314012,-2574.225,8250.69,11503.75,2062.67,2875.94,0.503,0.633,38.086,0.945259030,0.002343217,0.006652166,0.326244700,3394509.119,3391934.894,696686775,335
ROVER,9,364,-1,-705.099,-557.463,3.689,1092591.286,4353938.031,18.432675858,18.346169209,77.440995499,-2573.411,8234.86,11432.12,2058.71,2858.03,-0.876,5.921,-139.945,0.342373900,0.045908652,0.024857383,-0.938112260,3394509.115,3391935.704,697121829,340
ROVER,9,1064,-1,-797.012,-522.062,4.238,1092499.373,4353973.432,18.431125230,18.346169209,77.441625148,-2573.960,8602.51,11573.73,2150.63,2893.43,-0.314,-1.563,137.288,0.364164980,0.011708199,-0.007517274,0.931230550,3394509.278,3391935.318,697127733,340
ROVER,9,1554,-1,-821.456,-434.277,4.923,1092474.929,4354061.217,18.430712845,18.346169209,77.443186537,-2574.644,8700.28,11924.87,2175.07,2981.22,0.171,0.770,99.591,0.645512700,-0.004168746,0.005473548,0.763718550,3394509.364,3391934.720,697132241,340
ROVER,9,1914,-1,-810.643,-362.647,5.103,1092485.742,4354132.847,18.430895266,18.346169209,77.444460578,-2574.824,8657.03,12211.39,2164.26,3052.85,-1.854,-6.375,71.063,0.812954900,0.019162387,-0.054628965,0.579441850,3394509.409,3391934.585,697214765,341
ROVER,9,2304,-1,-841.017,-303.985,9.564,1092455.368,4354191.509,18.430382839,18.346169209,77.445503958,-2579.285,8778.53,12446.03,2194.63,3111.51,-5.913,-2.472,125.361,0.459224940,-0.004529366,-0.055700650,0.886560440,3394509.580,3391930.294,697217748,341
ROVER,9,2818,-1,-877.330,-234.014,10.983,1092419.055,4354261.480,18.429770216,18.346169209,77.446748503,-2580.704,8923.78,12725.92,2230.95,3181.48,-10.788,2.953,139.433,0.342744920,-0.056636590,-0.079256310,0.934364300,3394509.831,3391929.126,697222295,341
ROVER,9,2858,-1,-882.779,-222.534,11.413,1092413.606,4354272.960,18.429678288,18.346169209,77.446952686,-2581.134,8945.58,12771.84,2236.39,3192.96,-12.394,3.366,153.149,0.227642760,-0.053448107,-0.098170090,0.967308000,3394509.871,3391928.736,697305316,342
ROVER,9,2948,-1,-892.319,-214.127,11.007,1092404.066,4354281.367,18.429517343,18.346169209,77.447102219,-2580.729,8983.74,12805.47,2245.93,3201.37,0.524,9.383,-135.661,0.375730750,0.077461720,0.026646420,-0.923101300,3394509.923,3391929.195,697394039,343
ROVER,9,2982,-1,-895.977,-217.633,10.238,1092400.408,4354277.861,18.429455630,18.346169209,77.447039858,-2579.959,8998.37,12791.44,2249.59,3197.86,-0.753,9.728,-132.381,0.402740150,0.074929410,0.040215480,-0.911355440,3394509.933,3391929.974,697394616,343
ROVER,9,3478,-1,-924.447,-140.687,14.952,1092371.938,4354354.807,18.428975324,18.346169209,77.448408455,-2584.674,9112.25,13099.23,2278.06,3274.81,-6.093,3.173,170.672,0.079697244,-0.031879272,-0.050704803,0.995018100,3394510.175,3391925.501,698020007,350
